id,name,generic,vendor,fda_code
801,Cold and Flu Relief,"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate",P and L Development of New York Corporation (ReadyInCase),59726-029
802,Gabapentin,Gabapentin,REMEDYREPACK INC.,52125-840
803,DIARRHEA,"CINCHONA OFFICINALIS, BRYONIA, CHAMOMILLA, COLOCYNTHIS, IPECACUANHA, BELLADONNA",CVS PHARMACY,59779-846
804,nicotine,Nicotine Polacrilex,CVS Pharmacy,59779-206
805,LEDUM PAL,LEDUM PALUSTRE TWIG,Hyland's,54973-2918
806,DR.G WHITENING FORTIFIER,GLYCERIN,"GOWOONSESANG COSMETICS CO., LTD.",51621-039
807,BANANA BOAT,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",Energizer Personal Care LLC,63354-370
808,stomach relief,Bismuth subsalicylate,CVS Pharmacy,59779-699
809,Omeprazole,Omeprazole,Dexcel Ltd.,64861-303
810,Hydrochlorothiazide,Hydrochlorothiazide,REMEDYREPACK INC.,49349-721
811,NUCYNTA,tapentadol hydrochloride,"Janssen Pharmaceuticals, Inc.",50458-820
812,Childrens Ibuprofen,Ibuprofen,Actavis Mid Atlantic LLC,0472-1262
813,ITCHY SKIN RASH,SYZYGIUM CUMINI SEED,Natural Health Supply,64117-285
814,Sodium Lactate,Sodium Lactate,Baxter Healthcare Corporation,0338-0129
815,Omeprazole,Omeprazole,Proficient Rx LP,63187-070
816,Sodium Chloride,Sodium Chloride,Baxter Healthcare Corporation,0338-6304
817,LAMICTAL,lamotrigine,"Physicians Total Care, Inc.",54868-4675
818,CETAFEN,ACETAMINOPHEN,HART Health,50332-0103
819,Chantix,varenicline tartrate,Rebel Distributors Corp,21695-946
820,Zicam,zinc acetate and zinc gluconate,"Matrixx Initiatives, Inc.",62750-033
821,topcare childrens pain and fever,Acetaminophen,Topco Associates LLC,36800-959
822,Artemisia No Smoking,WORMWOOD,"Donghwa Pharm Co., Ltd",51978-1001
823,CitraNatal Rx,"Vitamin C, Calcium, Iron, Vitamin D3, Vitamin E, Thiamin, Riboflavin, Niacinamide, Vitamin B6, Folic Acid, Iodine, Zinc, Copper, Docusate Sodium",Mission Pharmacal Company,0178-0858
824,valsartan and hydrochlorothiazide,valsartan and hydrochlorothiazide,Apotex Corp.,60505-3809
825,Lumene Time Freeze Anti-Age CC Color Correcting SPF 20 Sunscreen Broad Spectrum MEDIUM,"OCTINOXATE, TITANIUM DIOXIDE",LUMENE OY,67692-811
826,Fresh Picked Strawberries Anti Bacterial Hand Sanitizer,BENZETHONIUM CHLORIDE,Five Below,59021-007
827,Naproxen,Naproxen,State of Florida DOH Central Pharmacy,53808-0386
828,Soft Bisque Perfecting Makeup SPF 25,"Octinoxate, Titanium Dioxide","Merle Norman Cosmetics, Inc",57627-130
829,antacid,"aluminum hydroxide, magnesium hydroxide, simethicone",HyVee Inc,42507-340
830,IBU,Ibuprofen,Cardinal Health,55154-1479
831,Poverty Weed,Poverty Weed,"Nelco Laboratories, Inc.",36987-3334
832,Creamy Petroleum,White petrolatum,"Meijer Distribution, Inc",41250-070
833,Everyday Clean Dandruff,Pyrithione Zinc,Cardinal Health,37205-684
834,Illusion Tinted Moisturizer Broad Spectrum Sand,"OCTINOXATE, OCTISALATE, TITANIUM DIOXIDE","Kingdom Animalia, LLC DBA Hourglass Cosmetics",42627-257
835,Tri-Vit With Fluoride And Iron Drops,vitamin a palmitate and ascorbic acid and cholecalciferol and ferrous sulfate and sodium fluoride solution,Qualitest Pharmaceuticals,0603-1787
836,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Mylan Institutional Inc.,51079-777
837,Clearly Confident,Miconazole Nitrate,"Ganeden Biotech, Inc.",65556-398
838,Losartan potassium and Hydrochlorothiazide,Losartan potassium and Hydrochlorothiazide,Macleods Pharmaceuticals Limited,33342-051
839,GUAIFENESIN DM,GUAIFENESIN and DEXTROMETHORPHAN,"Pharmaceutical Associates, Inc.",0121-0638
840,Aveeno Eczema Therapy Moisturizing,Oatmeal,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",58232-1403
841,PAROXETINE,paroxetine hydrochloride,Major Pharmaceuticals,0904-5679
842,Tricor,fenofibrate,"Physicians Total Care, Inc.",54868-5224
843,Folic Acid,Folic Acid,Cadila Pharmaceuticals Limited,65691-0088
844,Technetium Tc 99m Medronate,Technetium Tc 99m Medronate,Jubilant DraxImage Inc,65174-660
845,Divalproex Sodium,Divalproex Sodium,"PD-Rx Pharmaceuticals, Inc.",43063-295
846,Naproxen Sodium,Naproxen Sodium,"Healthy Accents (DZA Brands, LLC)",55316-169
847,Sumaxin,sodium sulfacetamide 9%-sulfur 4%,Medimetriks Pharmaceutical inc,43538-130
848,Geodon,ziprasidone hydrochloride,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,35356-097
849,Neostigmine Methylsulfate,NEOSTIGMINE METHYLSULFATE,"Fresenius Kabi USA, LLC",63323-383
850,Toposar,Etoposide,"Teva Parenteral Medicines, Inc",0703-5656
851,Up and Up Stomach Relief,Bismuth subsalicylate,Target Corporation,11673-302
852,Foods,"activated charcoal, ageratina aromatica root, ferrous iodide, gelsemium sempervirens root, calcium sulfide, histamine, interleukin-12 human, interferon gamma-1a, iodine, potassium gluconate, lycopodium clavatum spore, cajuput oil, black currant, rosa canina fruit, serotonin, xanthine, almond, apple, banana, barley, bean, beef, cashew, casein, emmental cultured, casein, lactococcus lactis cultured, casein, lactococcus lactis cultured aged, casein, lactococcus lactis cultured",VIATREXX BIO INCORPORATED,63776-165
853,Furosemide,Furosemide,McKesson Packaging Services a business unit of McKesson Corporation,63739-543
854,Antiseptic Hand Gel,ethyl alcohol,"H and P Industries, Inc. dba Triad Group",50730-8608
855,Neupro,rotigotine,"UCB, Inc.",50474-804
856,EXTRANEAL,"icodextrin, sodium chloride, sodium lactate, calcium chloride, magnesium chloride",Baxter Healthcare Corporation,0941-0679
857,ATOMY BB CREAM SPF 30 PA,OCTINOXATE,ATOMY CO LTD,52257-1002
858,REPREXAIN,Hydrocodone Bitartrate and Ibuprofen,"Gemini Laboratories, LLC",60846-902
859,GENTAMICIN SULFATE,GENTAMICIN SULFATE,"Fera Pharmaceuticals, LLC",48102-102
860,Walgreen Vanishing Scent Muscle and Joint,Menthol,Walgreen Company,0363-6711
861,Cough and Cold HBP,chlorpheniramine maleate and dextromethorphan hbr,Family Dollar,55319-411
862,Zyclara,imiquimod,Medicis Pharmaceutical Corp,99207-270
863,XtraCare Skin Relief Oatmeal Daily Moisturizing,Dimethicone,Greenbrier International,33992-0054
864,acetaminophen,Acetaminophen,Kroger Company,30142-313
865,Neutrogena Clear Pore Acne Treatment,Benzoyl Peroxide,Neutrogena Corporation,10812-068
866,Clarithromycin,Clarithromycin,REMEDYREPACK INC.,49349-251
867,Tindamax,tinidazole,Mission Pharmacal Company,0178-8500
868,Broad Spectrum SPF 70 Sunscreen,"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone",Kinray Inc.,61715-030
869,Nifedipine,nifedipine,"Alvogen, Inc.",47781-368
870,Givenchy Photo Perfexion Fluid Foundation SPF 20 Perfect Petal Tint 2,"TITANIUM DIOXIDE, OCTINOXATE",LVMH Fragrance Brands,60905-0002
871,Topcare Nicotine,Nicotine Polacrilex,Topco Associates LLC,36800-532
872,Matzim LA,Diltiazem Hydrochloride,"Watson Pharma, Inc.",52544-694
873,OxyContin,oxycodone hydrochloride,"PD-Rx Pharmaceuticals, Inc.",43063-354
874,Antibacterial Foaming Hand Sanitizer,Benzalkonium chloride,"Jets, Sets, & Elephants Beauty Corp.",50988-198
875,Lemon Zest Antibacterial Foaming Hand Wash,Triclosan,"SJ Creations, Inc.",43269-851
876,Gabapentin,Gabapentin,"Blenheim Pharmacal, Inc.",10544-447
877,Cetacaine Anesthetic,"Benzocaine, Butamben, and Tetracaine Hydrochloride","Cetylite Industries, Inc.",10223-0201
878,Duloxetine hydrochloride,Duloxetin hydrochloride,Unit Dose Services,50436-4500
879,Sancuso,granisetron,"Physicians Total Care, Inc.",54868-5985
880,DayQuil Severe,"Acetaminophen, Dextromethorphan Hydrobromide, Guaifenesin, and Phenylephrine Hydrochloride","Lil' Drug Store Products, Inc",66715-9704
881,equaline cold and flu relief,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCl",Supervalu Inc,41163-090
882,ANTIBACTERIAL FOAMING,TRICLOSAN,HARRIS TEETER,72036-177
883,Sinus Congestion and Pain Daytime,Acetaminophen and Phenylephrine HCl,NASH-FINCH COMPANY,70253-558
884,Hand Sanitizer,Alcohol,Landy International,51706-505
885,Oxygen Carbon Dioxide Mix,Oxygen Carbon Dioxide Mix,"Airgas-West, Inc.",10678-008
886,tamsulosin hydrochloride,tamsulosin hydrochloride,"PD-Rx Pharmaceuticals, Inc.",43063-264
887,Doxorubicin Hydrochloride,Doxorubicin Hydrochloride,Mylan Institutional LLC,67457-436
888,Treatment Set TS344570,Treatment Set TS344570,"Antigen Laboratories, Inc.",49288-0837
889,Tree Mixture,Tree Mixture,"Antigen Laboratories, Inc.",49288-0561
890,Cefuroxime,Cefuroxime,West-ward Pharmaceutical Corp,0143-9979
891,Etodolac,Etodolac,"Aphena Pharma Solutions - Tennessee, LLC",43353-749
892,Cetirizine Hydrochloride,cetirizine hydrochloride,"Preferred Pharmaceuticals, Inc",68788-0842
893,Ketoprofen,Ketoprofen,Aidarex Pharmaceuticals LLC,33261-064
894,Treatment Set TS345302,Treatment Set TS345302,"Antigen Laboratories, Inc.",49288-0844
895,Good Sense Tussin CF,"Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride",L. Perrigo Company,0113-0703
896,Brut Blue Wave,Aluminum Zirconium Tetrachlorohydrex Gly,"Idelle Labs, Ltd",41595-7009
897,Carvedilol,Carvedilol,Teva Pharmaceuticals USA Inc,0093-0135
898,Hydralazine Hydrochloride,hydralazine hydrochloride,"Physicians Total Care, Inc.",54868-6266
899,OXYCODONE AND ACETAMINOPHEN,oxycodone hydrochloride and acetaminophen,"Physicians Total Care, Inc.",54868-1700
900,Diphenhydramine Hydrochloride,Diphenhydramine Hydrochloride,A-S Medication Solutions LLC,54569-0239
901,ESIKA Perfect Match,Octinoxate and Oxybenzone,Ventura Corporation LTD.,13537-452
902,sinus congestion and pain,"Acetaminophen, Phenylephrine HCl",Meijer Distribution Inc,41250-272
903,Citalopram,Citalopram Hydrobromide,Proficient Rx LP,63187-140
904,Fluticasone Propionate,fluticasone propionate,"Physicians Total Care, Inc.",54868-5458
905,Megestrol Acetate,Megestrol Acetate,"Physicians Total Care, Inc.",54868-1629
906,MINOCYCLINE HYDROCHLORIDE,MINOCYCLINE HYDROCHLORIDE,"Global Pharmaceuticals, Division of Impax Laboratories Inc.",0115-7017
907,Anzemet,dolasetron mesylate,sanofi-aventis U.S. LLC,0088-1208
908,Oxaprozin,Oxaprozin,"PD-Rx Pharmaceuticals, Inc.",55289-601
909,Ibuprofen and Pseudoephedrine Hydrochloride,Ibuprofen and Pseudoephedrine Hydrochloride,Target Corporation,11673-423
910,Oxytocin,Oxytocin,West-Ward Pharmaceutical Corp.,0641-6115
911,Ibuprofen,ibuprofen,"L.N.K. International, Inc.",50844-291
912,Brintellix,vortioxetine,"Takeda Pharmaceuticals America, Inc.",64764-550
913,Bethanechol Chloride,Bethanechol Chloride,Major Pharmaceuticals,0904-6178
914,Gas relief,SIMETHICONE,SuperValu (Equaline),41163-550
915,Hand Sanitizer,Ethyl Alcohol,Vi-Jon,11344-269
916,Treatment Set TS329467,Treatment Set TS329467,"Antigen Laboratories, Inc.",49288-0728
917,Medrox,"METHYL SALICYLATE, MENTHOL, CAPSAICIN","Dispensing Solutions, Inc.",68258-3984
918,Naprosyn,naproxen,"Genentech, Inc.",0004-6313
919,Nicorelief,Nicotine Polacrilex,Major Pharmaceuticals,0904-5736
920,Rhus toxicodendron,Rhus toxicodendron,Natures Way Holding Co.,53499-4672
921,amlodipine besylate and benazepril hydrochloride,amlodipine besylate and benazepril hydrochloride,"NCS HealthCare of KY, Inc dba Vangard Labs",0615-1399
922,Neuro,"Hydrastis canadensis, Taraxacum officinale, Dopamine, L-dopa, Melatonin, Serotonin,","Deseret Biologicals, Inc.",43742-0039
923,Repaglinide,repaglinide,Mylan Pharmaceuticals Inc.,0378-3123
924,Citalopram,citalopram,Mylan Pharmaceuticals Inc.,0378-6231
925,Benazepril Hydrochloride,Benazepril Hydrochloride,Major Pharmaceuticals,0904-6189
926,Creon,Pancrelipase,AbbVie Inc.,0032-1212
927,Multitrace-4,Trace Elements 4,"American Regent, Inc.",0517-7410
928,MuscleCare,Camphor and Menthol,Active and Innovative,24488-026
929,Clindagel,CLINDAMYCIN,Onset Dermatologics LLC,16781-462
930,ZENPEP,pancrelipase,"Aptalis Pharma US, Inc.",42865-101
931,Terazosin Hydrochloride Anhydrous,terazosin hydrochloride anhydrous,Mylan Pharmaceuticals Inc.,0378-2264
932,Polymyxin B Sulfate and Trimethoprim,Polymyxin B Sulfate and Trimethoprim Sulfate,Bausch & Lomb Incorporated,24208-315
933,Venlafaxine,Venlafaxine,Zydus Pharmaceuticals (USA) Inc.,68382-018
934,Chocolated Laxative,Sennosides Stimulant Laxative,Walgreens,0363-5000
935,Levetiracetam,levetiracetam,REMEDYREPACK INC.,24236-921
936,nitroglycerin lingual,Nitroglycerin,Perrigo New York Inc,45802-210
937,Hand Wash,Benzalkonium chloride,The Kroger Co,30142-952
938,healthy mama,CALCIUM CARBONATE,"MATERNAL SCIENCE, LLC",58154-103
939,PEPSOM FLYING P EPSOM SALT,magnesium sulfate,"The Pepsom Group, Inc.",51619-600
940,Benztropine Mesylate,benztropine mesylate,"Camber Pharmaceutical, Inc.",31722-219
941,Methocarbamol,Methocarbamol,"Watson Laboratories, Inc.",0591-5381
942,smart sense nighttime,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",Kmart Corporation,49738-335
943,LAMICTAL,lamotrigine,GlaxoSmithKline LLC,0173-0776
944,expectorant,Guaifenesin,Western Family Foods Inc,55312-498
945,2 in 1,Pyrithione zinc,Target Corporation,11673-836
946,Breakout Control,Benzoyl Peroxide,"Bioelements, Inc.",49825-124
947,Mimvey Lo,Estradiol and Norethindrone Acetate,Teva Pharmaceuticals USA Inc,0093-5454
948,ESIKA Extreme Moisturizing SPF 16,Octinoxate and Oxybenzone,Ventura Corporation LTD,13537-288
949,Treatment Set TS339184,Treatment Set TS339184,"Antigen Laboratories, Inc.",49288-0800
950,Hydrogen Peroxide,Hydrogen Peroxide,Kroger,30142-414
951,nite time,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",Kroger Company,30142-872
952,ZONISAMIDE,ZONISAMIDE,American Health Packaging,68084-183
953,Premier Value Original,Tetrahydrozoline Hydrochloride,"Chain Drug Consortium, LLC",68016-448
954,TOURCIA BODY WASH,ALLANTOIN,"NUGA MEDICAL CO., LTD.",43275-120
955,Valium,diazepam,Cardinal Health,55154-3113
956,VAQTA,"hepatitis A vaccine, inactivated",Merck Sharp & Dohme Corp.,0006-4096
957,Trazodone Hydrochloride,Trazodone Hydrochloride,Torrent Pharmaceuticals Limited,13668-330
958,PAINFUL COUGH COLIC,STAR ANISE,Natural Health Supply,64117-238
959,Fluvoxamine Maleate,fluvoxamine maleate,Mylan Institutional Inc.,51079-992
960,Naltrexone Hydrochloride,Naltrexone Hydrochloride,REMEDYREPACK INC.,52125-727
961,careone stomach relief,Bismuth subsalicylate,American Sales Company,41520-337
962,Ativan,lorazepam,Cardinal Health,55154-4209
963,NAPROXEN SODIUM,NAPROXEN SODIUM,"SPIRIT PHARMACEUTICALS,LLC",68210-0400
964,CALMS FORTE,"AVENA SATIVA FLOWERING TOP, CHAMOMILE, HUMULUS LUPULUS STEM, PASSIFLORA INCARNATA FLOWER, CALCIUM PHOSPHATE, FERROSOFERRIC PHOSPHATE, POTASSIUM PHOSPHATE, DIBASIC, SODIUM PHOSPHATE, and MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE",Hyland's,54973-3146
965,Ciprofloxacin,Ciprofloxacin,West-Ward Pharmaceutical Corp,0143-9928
966,Glimepiride,glimepiride,Mylan Pharmaceuticals Inc.,0378-4011
967,Passion Flower Antibacterial Foaming Hand Wash,Triclosan,"SJ Creations, Inc.",43269-844
968,Eczema Cleanse,"Iris Versicolor Root, Arctium Lappa Root, Ruta Graveolens Flowering Top, Centella Asiatica, Sodium Chloride, Silicon Dioxide, Taraxacum Officinale, and Thuja Occidentalis Leafy Twig",Forces of Nature,51393-6543
969,Estradiol Transdermal System,Estradiol,"Alvogen, Inc.",47781-206
970,RYTHMOL,propafenone hydrochloride,GlaxoSmithKline LLC,0173-0794
971,ALENDRONATE SODIUM,ALENDRONATE SODIUM,"Ascend Laboratories, LLC",67877-241
972,Citalopram,Citalopram,"Golden State Medical Supply, Inc.",60429-175
973,Hydromorphone Hydrochloride,HYDROMORPHONE HYDROCHLORIDE,"Hospira, Inc.",0409-1304
974,Molds - Mold Mix 10,Molds - Mold Mix 10,Jubilant HollisterStier LLC,65044-5138
975,Nyloxin,NAJA NAJA VENOM,Receptopharm Inc.,47219-210
976,MYUNG HAN MI IN DO MAKEUP BASE,TITANIUM DIOXIDE,"THEFACESHOP CO., LTD.",51523-015
977,Antibacterial Wet Wipes,BENZALKONIUM CHLORIDE,"Hebei Yihoucheng Commodity Co.,Ltd.",59575-501
978,EXCEL SPF 30,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",ARMY AND AIR FORCE EXCHANGE SERVICE,55301-017
979,Hydrogen Peroxide,HYDROGEN PEROXIDE,"Geiss, Destin & Dunn, Inc",50804-871
980,Rat Epithelium,Rat Epithelium,"Nelco Laboratories, Inc.",36987-1105
981,GUNA-LIVER,CEANOTHUS AMERICANUS LEAF - CHELIDONIUM MAJUS - CHIONANTHUS VIRGINICUS BARK - CHOLINE HYDROXIDE - COBALAMIN - CULVER ROOT - FUMARIC ACID - INOSITOL - LYCOPODIUM CLAVATUM SPORE - NIACIN - PORK LIVER -,Guna spa,17089-311
982,Childrens Ibuprofen,Ibuprofen,Fred's Inc.,55315-552
983,PANDEL,HYDROCORTISONE PROBUTATE,PharmaDerm a division of Fougera Pharmaceuticals Inc.,10337-153
984,Levothyroxine Sodium,Levothyroxine Sodium,State of Florida DOH Central Pharmacy,53808-0846
985,Pravastatin Sodium,pravastatin sodium,"Physicians Total Care, Inc.",54868-5576
986,COTTON FIBER,Cotton Linters,"ALK-Abello, Inc.",0268-6303
987,Guinea Pig Hair,Guinea Pig Hair,"Antigen Laboratories, Inc.",49288-0229
988,sunmark pain reliever,Acetaminophen,McKesson,49348-888
989,Morphine sulfate,Morphine sulfate,Actavis Elizabeth LLC,0228-3502
990,Citroma,Magnesium Citrate,"Supervalue, INC",41163-667
991,Cepacol,Benzocaine and Dextromethorphan Hydrobromide,Reckitt Benckiser LLC,63824-742
992,Hydrocodone Bitartrate and Acetaminophen,Hydrocodone Bitartrate and Acetaminophen,Medsource Pharmaceuticals,45865-412
993,MYUNG HAN MI IN DO MAKEUP BASE,TITANIUM DIOXIDE,"THEFACESHOP CO., LTD.",51523-015
994,Oxygen,Oxygen,Covenant Home Medical,68796-5626
995,Venlafaxine Hydrochloride,venlafaxine hydrochloride,Rebel Distributors Corp,21695-958
996,Levetiracetam,levetiracetam,Par Pharmaceutical Inc.,49884-204
997,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL),Titanium dioxide,SHISEIDO AMERICAS CORPORATION,58411-181
998,Healthy Accents Cetirizine-D,"Cetirizine HCl, Pseudoephedrine HCl",DZA Brands LLC,55316-176
999,DOUBLE PERFECTION LUMIERE,TITANIUM DIOXIDE,CHANEL PARFUMS BEAUTE,68745-2006
1000,FOAMING ANTIBACTERIAL,TRICLOSAN,HYVEE INC,42507-178
